"isbn","Price","shipping","Price + Shipping","Sold by","Shipped by","Position","Buybox","Date","Time"
"[1409155811","$0.00","$0.00","0.0","Amazon.com","Amazon.com","","No","2025_06_20","16_19_40"
"[1409155811","$0.00","$0.00","0.0","World Deals, USA","World Deals, USA","","No","2025_06_20","16_19_40"
"[1409155811","$0.00","$0.00","0.0","PARK TRADE","Amazon.com","","No","2025_06_20","16_19_40"
"[1409155811","$0.00","$0.00","0.0","Prime Books US","Prime Books US","","No","2025_06_20","16_19_40"
"[1409155811","$0.00","$0.00","0.0","Bahamut Media","Bahamut Media","","No","2025_06_20","16_19_40"
"[1409155811","$0.00","$0.00","0.0","BrookBookstore","BrookBookstore","","No","2025_06_20","16_19_40"
"[1409155811","$0.00","$0.00","0.0","GrandEagleRetail","GrandEagleRetail","","No","2025_06_20","16_19_40"
"[1409155811","$0.00","$0.00","0.0","ButterflyBooks2083","ButterflyBooks2083","","No","2025_06_20","16_19_40"
"[1409155811","$0.00","$0.00","0.0","Windy Books","Windy Books","","No","2025_06_20","16_19_40"
"[1409155811","$0.00","$0.00","0.0","BOOKS etc. _","BOOKS etc. _","","No","2025_06_20","16_19_40"
"[1409155811","$0.00","$0.00","0.0","RAREWAVES-IMPORTS","RAREWAVES-IMPORTS","","No","2025_06_20","16_19_40"
"[1540007103","$0.00","$0.00","0.0","Amazon.com","Amazon.com","","No","2025_06_20","16_19_42"
"[1540007103","$0.00","$0.00","0.0","GrandEagleRetail","GrandEagleRetail","","No","2025_06_20","16_19_42"
"[1540007103","$0.00","$0.00","0.0","Capital Music Gear","Capital Music Gear","","No","2025_06_20","16_19_42"
"[1540007103","$0.00","$0.00","0.0","Imagine -This- Music","Imagine -This- Music","","No","2025_06_20","16_19_42"
"[1540007103","$0.00","$0.00","0.0","booksXpress","booksXpress","","No","2025_06_20","16_19_42"
"[1540007103","$0.00","$0.00","0.0","Windy Books","Windy Books","","No","2025_06_20","16_19_42"
"[1540007103","$0.00","$0.00","0.0","MusicCityBooks","MusicCityBooks","","No","2025_06_20","16_19_42"
"[1540007103","$0.00","$0.00","0.0","RAREWAVES-USA","RAREWAVES-USA","","No","2025_06_20","16_19_42"
"[1540007103","$0.00","$0.00","0.0","RetrostarMusic","RetrostarMusic","","No","2025_06_20","16_19_42"
"[1540007103","$0.00","$0.00","0.0","PBShop UK","PBShop UK","","No","2025_06_20","16_19_42"
"[1540007103","$0.00","$0.00","0.0","Fast Cat Books","Fast Cat Books","","No","2025_06_20","16_19_42"
"[1452180733","$0.00","$0.00","0.0","Amazon.com","Amazon.com","","No","2025_06_20","16_19_45"
"[1452180733","$0.00","$0.00","0.0","Starpoint B","Starpoint B","","No","2025_06_20","16_19_45"
"[1452180733","$0.00","$0.00","0.0","ROSE BOOK SELLER","ROSE BOOK SELLER","","No","2025_06_20","16_19_45"
"[1452180733","$0.00","$0.00","0.0","Karatay Store","Karatay Store","","No","2025_06_20","16_19_45"
"[1452180733","$0.00","$0.00","0.0","home of books","home of books","","No","2025_06_20","16_19_45"
"[1452180733","$0.00","$0.00","0.0","By InSight","By InSight","","No","2025_06_20","16_19_45"
"[1452180733","$0.00","$0.00","0.0","ShopSpell US","ShopSpell US","","No","2025_06_20","16_19_45"
