"isbn","Price","Sold by","Shipped by","Position","Buybox","Date","Time"
"[0316456128","$32.78","SuperBookDeals---","SuperBookDeals---","","No","2025_06_24","13_50_30"
"[0316456128","$36.78","MyPrepbooks","MyPrepbooks","","No","2025_06_24","13_50_30"
"[0316456128","$33.08","Ambis Enterprises","Ambis Enterprises","","No","2025_06_24","13_50_30"
"[0316456128","$38.28","Publisher Direct","Publisher Direct","","No","2025_06_24","13_50_30"
"[0316456128","$39.76","Amasinbooks","Amasinbooks","","No","2025_06_24","13_50_30"
"[0316456128","$39.88","California Books US","California Books US","","No","2025_06_24","13_50_30"
"[0316456128","$40.40","betterdeals2019","betterdeals2019","","No","2025_06_24","13_50_30"
"[0316456128","$40.93","GrandEagleRetail","GrandEagleRetail","","No","2025_06_24","13_50_30"
"[0762469331","$22.00","BSRN store","Amazon.com","","No","2025_06_24","13_50_34"
"[0762469331","$19.56","olimpianbooks","olimpianbooks","","No","2025_06_24","13_50_34"
"[0762469331","$19.57","WÖLF","WÖLF","","No","2025_06_24","13_50_34"
"[0762469331","$22.00","Caladan Knowledge","Amazon.com","","No","2025_06_24","13_50_34"
"[0762469331","$32.98","Books Nooks and Crannies","Books Nooks and Crannies","","No","2025_06_24","13_50_34"
"[0762469331","$33.12","Joseph Book Shop","Amazon.com","","No","2025_06_24","13_50_34"
"[1540007103","$39.99","Amazon.com","Amazon.com","","No","2025_06_24","13_50_37"
"[1540007103","$34.17","GrandEagleRetail","GrandEagleRetail","","No","2025_06_24","13_50_37"
"[1540007103","$30.19","Windy Books","Windy Books","","No","2025_06_24","13_50_37"
"[1540007103","$30.19","booksXpress","booksXpress","","No","2025_06_24","13_50_37"
"[1540007103","$31.99","Capital Music Gear","Capital Music Gear","","No","2025_06_24","13_50_37"
"[1540007103","$34.35","Imagine -This- Music","Imagine -This- Music","","No","2025_06_24","13_50_37"
"[1540007103","$39.99","MusicCityBooks","MusicCityBooks","","No","2025_06_24","13_50_37"
"[1540007103","$50.94","RAREWAVES-USA","RAREWAVES-USA","","No","2025_06_24","13_50_37"
"[1540007103","$44.99","RetrostarMusic","RetrostarMusic","","No","2025_06_24","13_50_37"
"[1540007103","$57.15","PBShop UK","PBShop UK","","No","2025_06_24","13_50_37"
"[1540007103","$66.49","Fast Cat Books","Fast Cat Books","","No","2025_06_24","13_50_37"
"[1452179816","$31.96","CE_BOOKHOUSE","Amazon.com","","No","2025_06_24","13_50_40"
"[1452179816","$27.66","booksXpress","booksXpress","","No","2025_06_24","13_50_40"
"[1452179816","$27.66","Windy Books","Windy Books","","No","2025_06_24","13_50_40"
"[1452179816","$31.94","Sunrise Finds","Amazon.com","","No","2025_06_24","13_50_40"
"[1452179816","$29.30","World Deals, USA","World Deals, USA","","No","2025_06_24","13_50_40"
"[1452179816","$34.80","CE_BOOKHOUSE","Amazon.com","","No","2025_06_24","13_50_40"
"[1452179816","$38.91","awesomebooksusa","awesomebooksusa","","No","2025_06_24","13_50_40"
"[1452179816","$40.00","Amazon.com","Amazon.com","","No","2025_06_24","13_50_40"
"[1452179816","$40.42","GrandEagleRetail","GrandEagleRetail","","No","2025_06_24","13_50_40"
"[1452179816","$40.44","InfiniteBooks_USA","InfiniteBooks_USA","","No","2025_06_24","13_50_40"
"[1452179816","$40.98","Bahamut Media","Bahamut Media","","No","2025_06_24","13_50_40"
"[1786275716","$22.53","Amazon.com","Amazon.com","","No","2025_06_24","13_50_42"
"[1786275716","$23.36","Follow Books","Follow Books","","No","2025_06_24","13_50_42"
"[1786275716","$25.05","Sprinkle Books","Sprinkle Books","","No","2025_06_24","13_50_42"
