"isbn","Price","shipping","Price + Shipping","Sold by","Shipped by","Position","Buybox","Date","Time"
"[1786275716","$26.28","$0.00","26.28","Goodvibes Books","Goodvibes Books","","No","2025_06_24","12_00_34"
"[1786275716","$29.20","$0.00","29.2","Greenpine_Books","Greenpine_Books","","No","2025_06_24","12_00_34"
"[1786275716","$29.21","$0.00","29.21","ShopSpell US","ShopSpell US","","No","2025_06_24","12_00_34"
"[1786275716","$26.17","$0.00","26.17","World Deals, USA","World Deals, USA","","No","2025_06_24","12_00_34"
"[1786275716","$27.03","$0.00","27.03","SuperBookDeals---","SuperBookDeals---","","No","2025_06_24","12_00_34"
"[1786275716","$27.08","$0.00","27.08","Windy Books","Windy Books","","No","2025_06_24","12_00_34"
"[1786275716","$27.08","$0.00","27.08","booksXpress","booksXpress","","No","2025_06_24","12_00_34"
"[1786275716","$31.37","$0.00","31.37","betterdeals2019","betterdeals2019","","No","2025_06_24","12_00_34"
"[0316496456","$20.03","$0.00","20.03","Amazon.com","Amazon.com","","No","2025_06_24","12_00_36"
"[0316496456","$20.02","$0.00","20.02","MTEAE","Amazon.com","","No","2025_06_24","12_00_36"
"[0316496456","$20.20","$0.00","20.2","Skyvintagerug","Amazon.com","","No","2025_06_24","12_00_36"
"[0316496456","$24.00","$0.00","24.0","figo place","Amazon.com","","No","2025_06_24","12_00_36"
"[0316496456","$19.63","$0.00","19.63","Global--Store","Global--Store","","No","2025_06_24","12_00_36"
"[0316496456","$24.63","$0.00","24.63","Emin Bookstore","Emin Bookstore","","No","2025_06_24","12_00_36"
"[0316496456","$21.67","$0.00","21.67","World Deals, USA","World Deals, USA","","No","2025_06_24","12_00_36"
"[0316496456","$21.90","$0.00","21.9","indoobestsellers","indoobestsellers","","No","2025_06_24","12_00_36"
"[0316496456","$25.91","$0.00","25.91","MINA GOLDEN STORE","Amazon.com","","No","2025_06_24","12_00_36"
"[0316496456","$26.15","$0.00","26.15","BEYBAGI","Amazon.com","","No","2025_06_24","12_00_36"
"[0316496456","$27.21","$0.00","27.21","ShopSpell US","ShopSpell US","","No","2025_06_24","12_00_36"
"[0316420352","$14.97","$0.00","14.97","BAFA LLC","Amazon.com","","No","2025_06_24","12_00_42"
"[0316420352","$14.99","$0.00","14.99","Meme Gifts","Meme Gifts","","No","2025_06_24","12_00_42"
"[0316420352","$15.05","$0.00","15.05","G and A Selling LLC","Amazon.com","","No","2025_06_24","12_00_42"
"[0316420352","$15.53","$0.00","15.53","La Classe USA","La Classe USA","","No","2025_06_24","12_00_42"
"[0316420352","$15.77","$0.00","15.77","Amazon.com","Amazon.com","","No","2025_06_24","12_00_42"
"[0316420352","$16.68","$0.00","16.68","ChampReaders","Amazon.com","","No","2025_06_24","12_00_42"
"[0316420352","$10.49","$0.00","10.49","bookends4956","bookends4956","","No","2025_06_24","12_00_42"
"[0316420352","$17.02","$0.00","17.02","ALLTHINGSDEPOT","Amazon.com","","No","2025_06_24","12_00_42"
"[0316420352","$17.44","$0.00","17.44","FindAnyBook","Amazon.com","","No","2025_06_24","12_00_42"
"[0316420352","$17.53","$0.00","17.53","Pen Book","Amazon.com","","No","2025_06_24","12_00_42"
"[0316420352","$18.90","$0.00","18.9","The Hope Exchange","Amazon.com","","No","2025_06_24","12_00_42"
"[0762469331","$22.00","$0.00","22.0","BSRN store","Amazon.com","","No","2025_06_24","12_00_45"
"[0762469331","$19.56","$0.00","19.56","olimpianbooks","olimpianbooks","","No","2025_06_24","12_00_45"
"[0762469331","$19.57","$0.00","19.57","WÖLF","WÖLF","","No","2025_06_24","12_00_45"
"[0762469331","$22.00","$0.00","22.0","Caladan Knowledge","Amazon.com","","No","2025_06_24","12_00_45"
"[0762469331","$32.98","$0.00","32.98","Books Nooks and Crannies","Books Nooks and Crannies","","No","2025_06_24","12_00_45"
"[0762469331","$33.12","$0.00","33.12","Joseph Book Shop","Amazon.com","","No","2025_06_24","12_00_45"
"[0316456128","$12.41","$0.00","12.41","CARICA LLC","CARICA LLC","","No","2025_06_24","12_00_47"
"[0316456128","$36.52","$0.00","36.52","ShopSpell US","ShopSpell US","","No","2025_06_24","12_00_47"
"[0316456128","$32.78","$0.00","32.78","SuperBookDeals---","SuperBookDeals---","","No","2025_06_24","12_00_47"
"[0316456128","$36.78","$0.00","36.78","MyPrepbooks","MyPrepbooks","","No","2025_06_24","12_00_47"
"[0316456128","$33.08","$0.00","33.08","Ambis Enterprises","Ambis Enterprises","","No","2025_06_24","12_00_47"
"[0316456128","$38.28","$0.00","38.28","Publisher Direct","Publisher Direct","","No","2025_06_24","12_00_47"
"[0316456128","$39.76","$0.00","39.76","Amasinbooks","Amasinbooks","","No","2025_06_24","12_00_47"
"[0316456128","$39.88","$0.00","39.88","California Books US","California Books US","","No","2025_06_24","12_00_47"
"[0316456128","$40.40","$0.00","40.4","betterdeals2019","betterdeals2019","","No","2025_06_24","12_00_47"
"[0316456128","$40.93","$0.00","40.93","GrandEagleRetail","GrandEagleRetail","","No","2025_06_24","12_00_47"
"[0316456128","$37.18","$0.00","37.18","LadyLakeBooks","LadyLakeBooks","","No","2025_06_24","12_00_47"
"[1423654137","$29.44","$0.00","29.44","Amazon.com","Amazon.com","","No","2025_06_24","12_00_50"
"[1423654137","$29.00","$0.00","29.0","Aral Dealz","Amazon.com","","No","2025_06_24","12_00_50"
"[1423654137","$30.79","$0.00","30.79","Windflower Bookstore","Windflower Bookstore","","No","2025_06_24","12_00_50"
"[1423654137","$34.79","$0.00","34.79","ShopSpell US","ShopSpell US","","No","2025_06_24","12_00_50"
"[1423654137","$33.40","$0.00","33.4","SuperBookDeals---","SuperBookDeals---","","No","2025_06_24","12_00_50"
"[1423654137","$33.41","$0.00","33.41","Ambis Enterprises","Ambis Enterprises","","No","2025_06_24","12_00_50"
"[1423654137","$37.71","$0.00","37.71","Publisher Direct","Publisher Direct","","No","2025_06_24","12_00_50"
"[1423654137","$38.68","$0.00","38.68","bargainbookstores-","bargainbookstores-","","No","2025_06_24","12_00_50"
"[1423654137","$39.76","$0.00","39.76","Amasinbooks","Amasinbooks","","No","2025_06_24","12_00_50"
"[1423654137","$39.88","$0.00","39.88","California Books US","California Books US","","No","2025_06_24","12_00_50"
"[1423654137","$40.40","$0.00","40.4","betterdeals2019","betterdeals2019","","No","2025_06_24","12_00_50"
"[130292818X","$0.00","$0.00","0.0","","","","No","2025_06_24","12_00_52"
"[1452179816","$31.96","$0.00","31.96","CE_BOOKHOUSE","Amazon.com","","No","2025_06_24","12_00_55"
